Codigo                DNI              Cantidad     Fecha               
OPJ-039               90365520         1            20230821
BWD-036               77191257         5            20230821
OPT-996               69639726         3            20230821
CIM-038               11602775         4            20230821
ZWF-661               32565207         6            20230821
VDD-853               49087435         2            20230821
PJG-338               49087435         1            20230821
VVS-017               45877001         4            20230821
TMN-884               79140840         5            20230821
QHC-492               98140264         4            20230821
WLL-607               91897732         1            20230821
KWP-672               90365520         6            20230821
JJN-837               71984468         5            20230821
SJQ-827               49087435         1            20230821
HFM-021               15210391         1            20230821
IHG-413               17913944         4            20230821
UTN-601               17972674         1            20230821
PVZ-181               90237332         5            20230821
XZR-640               49087435         6            20230821
UWA-476               37110873         2            20230821
VCL-867               25171011         1            20230821
TMJ-043               85949265         6            20230821
YUQ-590               85949265         2            20230821
ZAF-449               26233063         2            20230821
TXM-139               43043986         3            20230821
ZEX-027               29337157         3            20230821
JFC-432               38913831         3            20230821
EJW-346               83505958         3            20230821
TMJ-043               11602775         6            20230821
QFR-958               45783712         3            20230821
YJD-279               17913944         5            20230821
VRR-793               81114108         4            20230821
DUG-251               81114108         5            20230821
FQG-293               55552996         1            20230821
TZY-323               50365593         1            20230821
CSZ-863               57690875         5            20230821
SAM-013               32904023         3            20230821
WZD-331               40348917         3            20230821
EBI-299               40112594         3            20230821
FLJ-040               40348917         2            20230821
HLR-109               44229880         5            20230821
TYF-885               62566305         4            20230821
VXS-438               58187172         2            20230821
QFP-254               71463316         6            20230821
RAH-420               15561764         4            20230821
VXS-438               89429489         1            20230821
TZY-323               95161027         5            20230821
YUQ-590               77484838         6            20230822
ISU-815               32821689         1            20230822
LWG-915               27912250         4            20230822
TZY-323               26290971         5            20230822
CIM-038               73535476         3            20230822
RSE-049               15210391         5            20230822
KCO-488               35584593         1            20230822
OPT-996               25171011         6            20230822
TMJ-043               78078115         3            20230822
ZXK-295               78757121         4            20230822
YZD-580               38913831         1            20230822
OTW-288               94080926         5            20230822
QRC-609               87800799         1            20230822
AVM-258               77191257         6            20230822
ICX-503               66409237         5            20230822
MMA-577               52097922         2            20230822
DFF-034               78078115         2            20230822
RSE-049               76388967         6            20230822
YYK-309               64394265         6            20230822
QHC-492               84165595         4            20230822
BTO-226               77484838         4            20230822
OQI-373               78757121         3            20230822
PQH-935               71984468         2            20230822
NSR-955               93845419         2            20230822
XLF-273               43488351         5            20230822
BWD-036               80048864         3            20230822
HFC-845               36008913         6            20230822
XZR-640               78078115         5            20230822
QTK-083               89298238         3            20230822
GXF-122               37110873         2            20230822
HFC-845               86241107         3            20230822
LWG-915               27912250         1            20230822
JYQ-045               15561764         6            20230822
SPR-580               20864087         1            20230822
WZD-331               16151792         3            20230822
VJI-529               95161027         2            20230822
QTK-083               43488351         6            20230823
OFS-384               81114108         3            20230823
LDR-510               87813843         6            20230823
BRD-969               93160528         5            20230823
ZVA-180               50365593         6            20230823
QFP-254               12663268         5            20230823
BCN-855               81114108         4            20230823
QHC-492               29337157         6            20230823
PJG-338               78078115         2            20230823
QTK-083               93160528         3            20230823
SAM-013               79372768         1            20230823
JDC-028               31193794         1            20230823
AQS-362               55552996         1            20230823
CNQ-172               76388967         6            20230823
PFD-286               89298238         2            20230823
VRR-793               22280452         5            20230823
MTF-868               79464412         6            20230823
LWG-915               23928045         2            20230823
TKM-141               89148118         6            20230823
YOT-530               89298238         1            20230823
YYU-726               77642521         2            20230823
QUU-384               89429489         1            20230823
OFS-384               83236386         1            20230823
QFP-254               73185299         5            20230823
VXS-438               69324480         3            20230823
XBD-314               78922174         2            20230823
OTW-288               64394265         5            20230823
PFD-286               90237332         4            20230823
JXD-139               50375303         6            20230824
VZV-827               45783712         1            20230824
JXD-139               79464412         4            20230824
TYF-885               26290971         3            20230824
VJI-529               35565959         5            20230824
VVS-017               50365593         3            20230824
QRC-609               25171011         3            20230824
AFL-718               26976877         5            20230824
OXP-732               79901434         2            20230824
SSD-176               43877279         4            20230824
TMN-884               88956889         1            20230824
JDC-028               87800799         5            20230824
BCK-361               97403853         5            20230824
OBI-353               73914283         4            20230824
FEG-454               59162728         4            20230824
RDT-761               45877001         5            20230824
OTW-288               15210391         3            20230824
FVB-607               54761731         5            20230824
CSZ-863               95015539         2            20230824
ZVA-180               33713901         6            20230824
JFC-432               89148118         5            20230824
ISU-815               46462527         6            20230824
AVM-258               45828535         2            20230824
GLC-370               42928709         6            20230824
SSD-176               78078115         1            20230824
AWB-345               13245501         1            20230824
JJN-837               11602775         2            20230824
OQI-373               86402303         3            20230824
AHB-459               12663268         3            20230824
KCO-488               24995742         4            20230824
OWN-701               36380447         5            20230824
LDR-510               85949265         6            20230824
EBI-299               96258632         5            20230825
EUZ-452               87800799         2            20230825
OQI-373               71378466         1            20230825
KWP-672               87800799         2            20230825
HLR-109               88995291         2            20230825
GBD-525               52097922         5            20230825
CIM-038               35565959         4            20230825
QUU-384               67418025         1            20230825
BWD-036               95751208         3            20230825
JXD-139               26976877         2            20230825
QUU-384               77642521         5            20230825
TYF-885               79140840         2            20230825
YOT-530               57263719         5            20230825
YJD-279               62324793         5            20230825
AWB-345               93845419         5            20230825
ICX-503               87800799         2            20230825
UXG-019               19829266         2            20230825
TZY-323               57263719         6            20230825
DUG-251               93160528         2            20230825
AHB-459               79901434         3            20230825
SJQ-827               50375303         2            20230825
MMA-577               32821689         5            20230825
RDT-761               42798099         6            20230825
XLF-273               11602775         4            20230825
AFL-718               49087435         1            20230825
AQS-362               73786035         1            20230825
SNY-500               45783712         5            20230825
CNQ-172               16151792         1            20230825
DIQ-718               62566305         4            20230825
ZWF-661               13245501         1            20230825
SNY-500               40348917         4            20230825
LDR-510               73535476         2            20230825
MTF-868               83236386         2            20230825
KBY-991               58187172         6            20230825
YGV-332               77484838         3            20230825
XZG-521               26976877         3            20230826
DEV-433               54761731         3            20230826
ICX-503               27912250         1            20230826
KWP-672               42157219         6            20230826
BWD-036               24995742         1            20230826
VZV-827               54761731         1            20230826
FLJ-040               38637282         6            20230826
WZD-331               29337157         4            20230826
AFL-718               78922174         5            20230826
EUZ-452               90365520         6            20230826
JJN-837               11602775         1            20230826
KJX-387               73535476         4            20230826
MQR-442               86828079         3            20230826
HFC-845               13245501         6            20230826
XLF-273               57690875         4            20230826
TZY-323               77191257         3            20230826
BWD-036               79475585         5            20230826
BCK-361               49087435         3            20230826
ZVA-180               54761731         4            20230826
FLJ-040               27912250         3            20230826
GXF-122               78757121         1            20230826
III-576               42157219         6            20230826
BIT-434               71378466         4            20230826
KQQ-136               32904023         1            20230826
MQR-442               83505958         1            20230826
ZAF-449               99842319         1            20230826
RDT-761               59407188         5            20230826
ZWF-661               57263719         5            20230826
VVS-017               95161027         5            20230826
QJO-060               45828535         6            20230826
ARS-231               78757121         4            20230826
VCL-867               81114108         1            20230826
AFL-718               77484838         1            20230826
XSD-310               31611146         1            20230826
UWA-476               17972674         4            20230826
VRR-793               40348917         3            20230826
CIM-038               94080926         2            20230826
OPT-996               83236386         2            20230826
OQI-373               86402303         3            20230826
TXM-139               79901434         2            20230826
OXP-732               91897732         2            20230827
GBJ-693               45877001         5            20230827
XOA-735               78078115         2            20230827
YGV-332               86828079         1            20230827
QUU-384               73185299         3            20230827
KQA-580               96659352         6            20230827
YOT-530               43053402         2            20230827
SSD-176               55552996         6            20230827
KQQ-136               26976877         3            20230827
KSO-608               40112594         6            20230827
HLR-109               79140840         1            20230827
AQS-362               41036366         2            20230827
CRU-009               66409237         4            20230827
OQI-373               90237332         1            20230827
OQI-373               78922174         3            20230827
DFF-034               79140840         3            20230827
SNY-500               43877279         4            20230827
YYK-309               11602775         3            20230827
CRU-009               54716824         6            20230827
OFS-384               38637282         1            20230827
MLE-193               87813843         4            20230827
FYF-898               15561764         2            20230827
OBI-353               73914283         1            20230827
XSD-310               12663268         6            20230827
XLF-273               17913944         4            20230827
JFC-432               26233063         4            20230827
FLW-631               38913831         3            20230827
UXG-019               32565207         4            20230827
OTH-462               57263719         2            20230827
